                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5872,                 5.8627,                 1.7768,                0.00162,                 0.1092,                0.00094,                0.00024,                 3.4107,                 6.5889,                 2.0478,             0.00054556,             0.00054556,             0.00054556
                      2,                 2.9926,                 3.6686,                 1.5366,                 0.0937,                0.05747,                0.03386,                0.00778,                 3.1794,                 4.3007,                 1.6914,              0.0010876,              0.0010876,              0.0010876
                      3,                 2.8831,                  3.028,                  1.477,                0.15607,                0.24713,                0.08382,                0.01757,                 3.2476,                  3.448,                 1.7383,              0.0016159,              0.0016159,              0.0016159
                      4,                 2.8284,                 2.6239,                 1.4757,                0.30251,                0.41954,                0.26243,                0.06801,                 2.7477,                 3.6661,                 1.5407,              0.0016051,              0.0016051,              0.0016051
                      5,                 2.8098,                 2.3447,                 1.4262,                0.34899,                    0.5,                0.33831,                0.08266,                 2.7377,                 2.4386,                 1.5164,              0.0015845,              0.0015845,              0.0015845
                      6,                 2.7113,                 2.1864,                 1.3932,                0.30622,                0.36782,                0.23843,                0.06099,                 2.6572,                 2.7184,                 1.4672,              0.0015639,              0.0015639,              0.0015639
                      7,                 2.7222,                 2.1083,                 1.4227,                0.41467,                0.52874,                0.37573,                0.09094,                 2.6095,                 2.1518,                   1.48,              0.0015432,              0.0015432,              0.0015432
                      8,                 2.6675,                 1.9966,                 1.4102,                0.29075,                0.45977,                0.29077,                0.07695,                 2.6039,                 2.1366,                 1.4497,              0.0015226,              0.0015226,              0.0015226
                      9,                 2.6556,                 2.0259,                 1.3637,                0.39964,                0.56622,                0.39473,                0.10501,                 2.6375,                 1.8781,                   1.46,               0.001502,               0.001502,               0.001502
                     10,                 2.5913,                 1.9671,                 1.3633,                0.40839,                0.54023,                 0.3708,                0.09578,                 2.5514,                 1.8358,                 1.4358,              0.0014813,              0.0014813,              0.0014813
                     11,                 2.6173,                 1.9365,                 1.3794,                0.38062,                0.41379,                0.34277,                0.09385,                  2.689,                 1.9864,                 1.4736,              0.0014607,              0.0014607,              0.0014607
                     12,                 2.6091,                 1.8991,                 1.3415,                0.45584,                0.52299,                0.42995,                0.11458,                 2.5476,                 1.8562,                 1.4153,              0.0014401,              0.0014401,              0.0014401
                     13,                 2.5932,                  1.824,                 1.3713,                0.54752,                0.54023,                0.49156,                0.13212,                 2.5735,                 1.8584,                 1.4478,              0.0014195,              0.0014195,              0.0014195
                     14,                 2.5929,                 1.8913,                   1.34,                0.43844,                0.56322,                0.41899,                0.10792,                  2.576,                 1.9012,                 1.4288,              0.0013988,              0.0013988,              0.0013988
                     15,                 2.5706,                 1.8093,                 1.3505,                0.51075,                0.54596,                0.46302,                0.11561,                 2.5324,                 1.7865,                 1.4155,              0.0013782,              0.0013782,              0.0013782
                     16,                 2.5731,                 1.7845,                 1.3342,                0.43761,                0.48745,                  0.347,                0.09792,                 2.6065,                 1.8226,                 1.4349,              0.0013576,              0.0013576,              0.0013576
                     17,                 2.5639,                 1.7446,                 1.3422,                0.39698,                 0.6092,                0.38587,                0.09607,                 2.7072,                 1.7585,                 1.4641,              0.0013369,              0.0013369,              0.0013369
                     18,                 2.5493,                 1.8173,                  1.348,                0.48658,                0.63218,                0.44798,                0.11702,                 2.5706,                 1.7462,                 1.4116,              0.0013163,              0.0013163,              0.0013163
                     19,                 2.4734,                 1.7089,                 1.3223,                0.36574,                0.45402,                0.34286,                0.08447,                 2.5379,                 1.8829,                 1.3901,              0.0012957,              0.0012957,              0.0012957
                     20,                 2.5094,                 1.7439,                 1.3239,                0.43635,                0.56897,                0.43921,                0.11903,                 2.5898,                  1.647,                 1.4163,               0.001275,               0.001275,               0.001275
                     21,                 2.5303,                 1.7266,                  1.355,                0.44633,                0.63009,                0.37366,                 0.1001,                 2.4957,                 1.7321,                 1.3808,              0.0012544,              0.0012544,              0.0012544
                     22,                 2.5563,                 1.7269,                 1.3274,                 0.4448,                 0.6092,                0.43533,                0.10082,                 2.7188,                 2.1121,                 1.4627,              0.0012338,              0.0012338,              0.0012338
                     23,                 2.5058,                 1.7368,                 1.3401,                0.47785,                0.53121,                 0.3835,                0.10695,                 2.4944,                 1.6752,                 1.3892,              0.0012132,              0.0012132,              0.0012132
                     24,                 2.5265,                 1.7264,                 1.3323,                0.50409,                0.52874,                0.46732,                0.13122,                 2.5923,                 1.6713,                 1.4107,              0.0011925,              0.0011925,              0.0011925
                     25,                 2.5254,                 1.6905,                 1.3209,                0.31003,                0.36782,                0.20717,                0.04826,                 2.7145,                 2.1447,                 1.4699,              0.0011719,              0.0011719,              0.0011719
